-1:262:[-20.616102451321083, 8.668295021803552e-16]
-1:263:[-20.452270250781652, 1.57531694572148e-15]
-1:264:[-26.611946082519026, 3.4208357358226026e-15]
-1:265:[-27.678713026175668, 1.9585795165547057e-15]
-1:266:[-32.59693421955627, 2.5967949192176204e-15]
-1:267:[-30.733051499693786, 4.241741448699949e-15]
-1:268:[-27.040145097475822, 2.8442739416510524e-15]
-1:269:[-23.5406109227198, 9.570102970109907e-16]
-1:270:[-28.864884283805377, 2.488937002156876e-15]
-1:271:[-28.506820057517185, 1.9831903349000933e-15]
-1:272:[-25.54485096933767, 1.9859604659772826e-15]
-1:273:[-26.001155325418274, 1.6459036389989617e-15]
-1:274:[-23.3476324666503, 1.007692535298572e-15]
-1:275:[-17.311873350898317, 1.3969973198924922e-15]
-1:276:[-20.56252665928374, 2.621760588996027e-15]
-1:277:[-18.75316853275117, 2.2061299349356063e-15]
-1:278:[-18.643447896190455, 1.8467225555933757e-15]
-1:279:[-12.394758660817043, 5.355109993909147e-16]
-1:280:[-13.943143339529826, 1.2636314329487665e-15]
-1:281:[-11.75008910639715, 8.883823901728773e-16]
-1:282:[-6.146346202445231, 4.270399767877106e-16]
-1:283:[-0.3054684741311725, 2.2368471359119466e-17]
-1:284:[6.637580787013106, -6.638427080312818e-16]
-1:285:[11.840345660438961, -1.3998925213508307e-15]
-1:286:[10.532543068069524, -1.3454187937618303e-15]
-1:287:[14.80344245432235, -5.205987967013637e-16]
-1:288:[13.04314819392132, -1.3956777248924103e-15]
-1:289:[19.385692835591232, -2.2628499373109673e-15]
-1:290:[20.713906326105562, -1.7850865165292315e-15]
-1:291:[25.419478432538337, -3.571962571652622e-15]
-1:292:[24.850688090307557, -8.813905749200492e-16]
-1:293:[31.613679507343942, -2.656656261459783e-15]
-1:294:[38.380858662511116, -5.1877204638591286e-15]
-1:295:[39.977510671659864, -4.311957695731525e-15]
-1:296:[41.970259119714015, -5.01911598871191e-15]
-1:297:[48.44255517345836, -5.165037344687117e-15]
-1:298:[52.44968867118587, -3.1260699750032496e-15]
-1:299:[54.77239077818288, -1.5751741876204614e-15]
-1:300:[47.58675206516841, -2.2112946219600397e-15]
-1:301:[44.36641102901149, -2.1370624103380462e-15]
-1:302:[47.254189309403, -1.906126022650845e-16]
-1:303:[41.34338736266689, -3.8078646739133515e-15]
-1:304:[26.593697822837417, -1.8263948040570316e-15]
-1:305:[17.034065362970697, -2.129965696851637e-15]
-1:306:[-2.9104498494833693, 3.600053509504609e-16]
-1:307:[-6.030258153039115, 6.161444904087984e-16]
-1:308:[-9.2221510642742, 4.3505538236585663e-16]
-1:309:[-12.728470987213658, 1.3929185860802764e-15]
-1:310:[-14.924079746884994, 9.357348767042624e-16]
-1:311:[-26.336428917679907, 3.388696417301781e-15]
-1:312:[-27.9462890689334, 2.5191936790737143e-15]
-1:313:[-28.145271663396347, 1.9691289918781862e-15]
-1:314:[-32.95117774622844, 3.5410982357845697e-15]
-1:315:[-36.499428999769435, 3.3925157984753087e-15]
-1:316:[-39.237899692030346, 3.5473217133762986e-15]
-1:317:[-34.51007857101302, 2.7135885664239462e-15]
-1:318:[-34.667851958048104, 4.321041459340807e-15]
-1:319:[-28.336055280241617, 1.864304391073696e-15]
-1:320:[-28.076858488155498, 1.7570202616807315e-15]
-1:321:[-30.35855308262133, 3.655285848089724e-15]
-1:322:[-29.226535933964637, 2.6275535808657204e-15]
-1:323:[-26.46678998021144, 3.42402767264589e-15]
-1:324:[-21.916382748343658, 2.560330841422227e-15]
-1:325:[-20.845653403528424, 2.839061226916287e-17]
-1:326:[-15.15864117814993, 4.962334031801355e-16]
-1:327:[-13.555129444785962, 7.842468963110704e-16]
-1:328:[-8.796976434881653, 4.705312814868864e-16]
-1:329:[-8.906075998525141, 2.280184427038082e-16]
-1:330:[-11.75306617708926, 5.522960018479234e-16]
-1:331:[-17.645854671802926, 8.916826292287838e-16]
-1:332:[-21.162540016816454, 1.796939904956897e-15]
-1:333:[-20.93285966518762, 1.826243718540971e-16]
-1:334:[-21.211284566916845, 1.573100755168269e-15]
-1:335:[-16.89909799806173, 1.83512858655878e-15]
-1:336:[-14.867560436842469, 1.2917430726474156e-15]
-1:337:[-7.950503999834644, 8.530391909799346e-16]
-1:338:[-2.339491734547817, 2.7986116934695034e-16]
-1:339:[-6.175528747480819, 2.1756755253725913e-16]
-1:340:[-11.294268771516446, 1.2709432006195275e-15]
-1:341:[-18.011552030529312, 1.2280664618263817e-15]
-1:342:[-17.73346896135499, 1.2676365981710402e-15]
-1:343:[-11.361518835820041, 8.175782276183697e-16]
-1:344:[-5.451290217134839, 6.15889517315516e-16]
-1:345:[-2.9577384489460643, 2.0102967306719256e-16]
-1:346:[3.872963773655234, -2.296913557977303e-16]
-1:347:[6.647098842142885, -8.374912479239216e-16]
-1:348:[0.19744185516084947, -6.65817292582882e-18]
-1:349:[0.3542255932384023, -2.7633034760477437e-17]
-1:350:[5.491583125119011, -6.802856458296799e-16]
-1:351:[11.21536633961229, -9.321630706523548e-16]
-1:352:[7.093753701564294, -6.114015884443657e-16]
-1:353:[1.7953941099119712, -6.911475625378277e-17]
-1:354:[-1.1022079604847843, 5.5426156554059333e-17]
-1:355:[-7.807497568222488, 6.784618340427001e-16]
-1:356:[-8.222335136617275, 4.947267153688124e-16]
-1:357:[-15.806047960747424, 1.3228081313977052e-15]
-1:358:[-17.27560425897752, 9.6107596968054e-16]
-1:359:[-16.783091638267454, 8.4496297839703e-16]
-1:360:[-11.73207632245576, 1.2648021603278228e-15]
-1:361:[-14.685274228216768, 4.18586015776956e-16]
-1:362:[-19.314886290683937, 7.879342524260627e-16]
-1:363:[-21.53865589564338, 9.454840904528201e-16]
-1:364:[-21.79233402612188, 1.8621068076792406e-15]
-1:365:[-21.78737729707625, 1.6063927641488825e-15]
-1:366:[-16.085276434193556, 1.873151845193729e-15]
-1:367:[-19.966106122434574, 2.292354969518168e-15]
-1:368:[-13.463976018924678, 1.2698356020785538e-15]
-1:369:[-20.05055580435654, 1.7117658968009033e-15]
-1:370:[-17.589677431102107, 2.1643589265173492e-15]
-1:371:[-16.69542838112699, 9.223617876434052e-16]
-1:372:[-9.916185450325377, 9.032845803370056e-16]
-1:373:[-9.843029075843026, 1.151751584523099e-15]
-1:374:[-3.3282638292338556, 1.220430552054143e-16]
-1:375:[-9.237492227409986, 9.273037893732725e-16]
-1:376:[-5.5267426664993256, 1.725704877740037e-16]
-1:377:[-5.378591404292303, 4.975884045786964e-16]
-1:378:[-0.964953028245856, 1.0476550047228072e-16]
-1:379:[5.45935612986914, -2.729862465751456e-16]
